id,source,zh_sentence,tsl_gloss,subject,object,time,topic,verb,verb_type,agreement,question_type,negation,nonmanual,notes
TSL0048,manual,我下午搭捷運去學校,下午 捷運 學校 我 搭 去,我,學校,下午,捷運,去,spatial,spatial_path,none,false,none,時間交通地點先行
TSL0049,manual,你住在哪裡,你 住 哪裡,你,哪裡,none,none,住,spatial,spatial_location,wh,false,wh_expression,位置疑問
TSL0050,manual,我家在台中,台中 我 家 在,我家,台中,none,台中,在,spatial,spatial_location,none,false,none,地點作主題
TSL0051,manual,她把照片傳給我,照片 她 傳 給 我,她,我,none,照片,傳,agreement,directional_movement,none,false,none,傳給可用方向移動
TSL0052,manual,我寄信給朋友,朋友 信 我 寄 給,我,朋友,none,朋友,寄,agreement,directional_movement,none,false,none,受者先建立
TSL0053,manual,朋友昨天打電話給你,昨天 朋友 電話 給 你,朋友,你,昨天,電話,給,agreement,directional_movement,none,false,none,時間在前；方向給你
TSL0054,manual,你有沒有收到訊息,訊息 你 收到 有 沒有,你,訊息,none,訊息,收到,plain,word_order,yesno,true,brow_raise,有沒有問句
TSL0055,manual,我今天晚上要開會,今天 晚上 會議 我 開 要,我,會議,今天 晚上,會議,開,plain,word_order,none,false,none,時間詞組置前
TSL0056,manual,會議幾點開始,會議 開始 幾點,none,會議,none,會議,開始,plain,word_order,wh,false,wh_expression,時間疑問詞句尾
TSL0057,manual,老闆明天找我,明天 老闆 找 我,老闆,我,明天,none,找,agreement,directional_movement,none,false,eye_gaze,找用方向與眼神呼應
TSL0058,manual,我今天不能加班,今天 我 加班 能 不,我,none,今天,none,加班,plain,word_order,none,true,head_shake,能力或許可否定
TSL0059,manual,這件衣服很漂亮,衣服 這 漂亮,none,衣服 這,none,衣服 這,漂亮,plain,word_order,none,false,none,指示詞跟在名詞後
TSL0060,manual,那雙鞋子太小,鞋子 那 小 太,none,鞋子 那,none,鞋子 那,小,plain,word_order,none,false,none,修飾與程度後置
TSL0061,manual,我不要紅色我要黑色,紅 我 要 不 黑 我 要,我,紅 黑,none,紅,要,plain,word_order,none,true,head_shake,對比主題
TSL0062,manual,你喜歡哪一個顏色,顏色 你 喜歡 哪一個,你,顏色,none,顏色,喜歡,plain,word_order,wh,false,wh_expression,疑問詞句尾
TSL0063,manual,小明昨天送花給老師,昨天 老師 花 小明 送,小明,老師,昨天,老師,送,agreement,directional_movement,none,false,none,受者與物先建立
TSL0064,manual,老師稱讚小明,小明 老師 稱讚,老師,小明,none,小明,稱讚,agreement,directional_movement,none,false,eye_gaze,受語作主題
TSL0065,manual,我早上看到一隻狗,早上 狗 我 看見,我,狗,早上,狗,看見,plain,word_order,none,false,none,時間在前；受語主題
TSL0066,manual,狗跑到公園,公園 狗 跑 去,狗,公園,none,公園,跑,spatial,spatial_path,none,false,none,路徑終點先建立
TSL0067,manual,貓在椅子下面睡覺,椅子 下面 貓 睡覺,貓,椅子 下面,none,椅子 下面,睡覺,spatial,spatial_location,none,false,none,空間位置作主題
TSL0068,manual,你昨天睡得好嗎,昨天 你 睡 好,你,none,昨天,none,睡,plain,word_order,yesno,false,brow_raise,是非問句
TSL0069,manual,我今天睡不好,今天 我 睡 好 不,我,none,今天,none,睡,plain,word_order,none,true,head_shake,否定後置
TSL0070,manual,他為什麼哭,他 哭 為什麼,他,none,none,none,哭,plain,word_order,wh,false,wh_expression,原因疑問詞放後
TSL0071,manual,妹妹因為生氣所以哭,妹妹 生氣 所以 哭,妹妹,none,none,妹妹,哭,plain,word_order,none,false,facial_affect,原因先說明
TSL0072,manual,我知道答案,答案 我 知道,我,答案,none,答案,知道,plain,word_order,none,false,none,受語先行
TSL0073,manual,他不知道答案,答案 他 知道 不,他,答案,none,答案,知道,plain,word_order,none,true,head_shake,否定後置
TSL0074,manual,你記得我的名字嗎,我 名字 你 記得,你,我 名字,none,我 名字,記得,plain,word_order,yesno,false,brow_raise,是非問句
TSL0075,manual,我忘記他的名字,他 名字 我 忘記,我,他 名字,none,他 名字,忘記,plain,word_order,none,false,none,所有者名詞作主題
TSL0076,manual,今天班上很多人請假,今天 班 人 多 請假,人,none,今天,班,請假,plain,word_order,none,false,none,場域先建立
TSL0077,manual,誰今天沒有來,今天 來 沒有 誰,誰,none,今天,none,來,plain,word_order,wh,true,wh_expression,疑問詞與否定在後
TSL0078,manual,我明天早上八點到公司,明天 早上 八點 公司 我 到,我,公司,明天 早上 八點,公司,到,spatial,spatial_direction,none,false,none,精確時間置前
TSL0079,manual,公司離車站很近,車站 公司 近,公司,車站,none,車站,近,spatial,spatial_location,none,false,none,空間關係主題
TSL0080,manual,這裡不能停車,這裡 停車 能 不,none,這裡,none,這裡,停車,spatial,spatial_location,none,true,head_shake,地點規則否定
TSL0081,manual,請你幫我拍照,照片 請 你 幫 我 拍,你,我,none,照片,幫,agreement,directional_movement,none,false,polite_expression,請求句
TSL0082,manual,我可以問你問題嗎,問題 我 問 你 可以,我,你,none,問題,問,agreement,directional_movement,yesno,false,brow_raise,許可是非問
TSL0083,manual,你不要告訴他,你 告訴 他 不要,你,他,none,none,告訴,agreement,directional_movement,none,true,head_shake,禁止句
TSL0084,manual,他告訴我一個秘密,秘密 他 告訴 我,他,我,none,秘密,告訴,agreement,directional_movement,none,false,none,告訴方向指向受者
TSL0085,manual,我們一起去吃飯,飯 我們 一起 去 吃,我們,飯,none,飯,吃,spatial,word_order,none,false,none,活動主題
TSL0086,manual,你們幾個人要來,你們 來 人 幾個,你們,none,none,none,來,plain,word_order,wh,false,wh_expression,數量疑問詞句尾
TSL0087,manual,我只買兩個蘋果,蘋果 兩個 我 買 只,我,蘋果 兩個,none,蘋果,買,plain,word_order,none,false,none,數量跟名詞；限制語後置
TSL0088,manual,蘋果一公斤多少錢,蘋果 一公斤 錢 多少,none,蘋果,none,蘋果,多少,unknown,word_order,wh,false,wh_expression,價格疑問
TSL0089,manual,今天市場人很多,今天 市場 人 多,人,市場,今天,市場,多,plain,word_order,none,false,none,地點主題
TSL0090,manual,我不喜歡人太多,人 多 太 我 喜歡 不,我,人 多 太,none,人,喜歡,plain,word_order,none,true,head_shake,主題加否定
TSL0091,manual,他正在找鑰匙,鑰匙 他 找,他,鑰匙,none,鑰匙,找,plain,eye_gaze,none,false,eye_gaze,普通動詞搭配眼神
TSL0092,manual,鑰匙放在哪裡,鑰匙 放 哪裡,none,鑰匙,none,鑰匙,放,spatial,spatial_location,wh,false,wh_expression,物品位置疑問
TSL0093,manual,我把鑰匙放在桌上,桌子 鑰匙 我 放,我,鑰匙,none,桌子,放,spatial,spatial_location,none,false,none,先建立放置位置
TSL0094,manual,你昨天有看到我的錢包嗎,昨天 我 錢包 你 看見 有,你,我 錢包,昨天,我 錢包,看見,plain,word_order,yesno,false,brow_raise,是非問句
TSL0095,manual,我今天沒有帶錢包,今天 錢包 我 帶 沒有,我,錢包,今天,錢包,帶,plain,word_order,none,true,head_shake,時間在前；否定後置
TSL0096,manual,雨停了我們就出門,雨 停 我們 出門,我們,none,none,雨,出門,spatial,word_order,none,false,none,條件先行
TSL0097,manual,如果明天下雨我就不去,明天 雨 下 如果 我 去 不,我,none,明天,雨,去,spatial,word_order,none,true,head_shake,條件句加否定
TSL0098,manual,他比我高,他 我 比 高,他,我,none,他,高,plain,word_order,none,false,none,比較句
TSL0099,manual,我比他矮,我 他 比 矮,我,他,none,我,矮,plain,word_order,none,false,none,比較句
TSL0100,manual,這個問題我不懂,問題 這 我 懂 不,我,問題 這,none,問題 這,懂,plain,word_order,none,true,head_shake,受語主題；否定後置
TSL0101,synthetic_manual,我早上七點起床,早上 七點 我 起床,我,none,早上 七點,none,起床,plain,word_order,none,false,none,時間詞組置前
TSL0102,synthetic_manual,他晚上十一點睡覺,晚上 十一點 他 睡覺,他,none,晚上 十一點,none,睡覺,plain,word_order,none,false,none,時間詞組置前
TSL0103,synthetic_manual,我們今天一起吃早餐,今天 早餐 我們 一起 吃,我們,早餐,今天,早餐,吃,plain,word_order,none,false,none,活動作主題
TSL0104,synthetic_manual,妹妹不吃青菜,青菜 妹妹 吃 不,妹妹,青菜,none,青菜,吃,plain,word_order,none,true,head_shake,否定放動詞後
TSL0105,synthetic_manual,你昨天喝了很多水嗎,昨天 水 多 你 喝,你,水,昨天,水,喝,plain,word_order,yesno,false,brow_raise,時間在前；是非問
TSL0106,synthetic_manual,我今天忘記帶雨傘,今天 雨傘 我 帶 忘記,我,雨傘,今天,雨傘,帶,plain,word_order,none,false,none,受語作主題
TSL0107,synthetic_manual,外面現在很熱,現在 外面 熱,none,外面,現在,外面,熱,plain,word_order,none,false,none,時間地點先行
TSL0108,synthetic_manual,教室裡面很安靜,教室 裡面 安靜,none,教室 裡面,none,教室,安靜,spatial,spatial_location,none,false,none,空間位置作主題
TSL0109,synthetic_manual,學生們正在討論報告,報告 學生 討論,學生,報告,none,報告,討論,plain,word_order,none,false,none,受語先作主題
TSL0110,synthetic_manual,老師昨天提醒我們考試,昨天 考試 老師 提醒 我們,老師,我們,昨天,考試,提醒,agreement,directional_movement,none,false,eye_gaze,提醒可用方向標示對象
TSL0111,synthetic_manual,你明天幾點下課,明天 你 下課 幾點,你,none,明天,none,下課,plain,word_order,wh,false,wh_expression,時間疑問詞句尾
TSL0112,synthetic_manual,我下午三點下班,下午 三點 我 下班,我,none,下午 三點,none,下班,plain,word_order,none,false,none,精確時間置前
TSL0113,synthetic_manual,他今天沒有上班,今天 他 上班 沒有,他,none,今天,none,上班,plain,word_order,none,true,head_shake,否定後置
TSL0114,synthetic_manual,公司今天開重要會議,今天 重要 會議 公司 開,公司,會議,今天,會議,開,plain,word_order,none,false,none,時間在前；事件主題
TSL0115,synthetic_manual,我需要你的幫忙,你 幫忙 我 需要,我,你 幫忙,none,你,需要,plain,word_order,none,false,none,受語關係先建立
TSL0116,synthetic_manual,你可以幫我搬桌子嗎,桌子 你 幫 我 搬 可以,你,我,none,桌子,幫,agreement,directional_movement,yesno,false,brow_raise,請求是非問
TSL0117,synthetic_manual,桌子太重我搬不動,桌子 重 太 我 搬 能 不,我,桌子,none,桌子,搬,plain,word_order,none,true,head_shake,主題加能力否定
TSL0118,synthetic_manual,哥哥把椅子搬到外面,外面 椅子 哥哥 搬 去,哥哥,椅子,none,外面,搬,spatial,spatial_path,none,false,none,終點位置先建立
TSL0119,synthetic_manual,你今天有空嗎,今天 你 空 有,你,none,今天,none,有,plain,word_order,yesno,false,brow_raise,是非問句
TSL0120,synthetic_manual,我今天沒有空,今天 我 空 沒有,我,none,今天,none,有,plain,word_order,none,true,head_shake,否定存在
TSL0121,synthetic_manual,我們晚上去夜市,晚上 夜市 我們 去,我們,夜市,晚上,夜市,去,spatial,spatial_direction,none,false,none,時間地點先行
TSL0122,synthetic_manual,夜市人很多很吵,夜市 人 多 吵,人,夜市,none,夜市,吵,plain,word_order,none,false,none,地點作主題
TSL0123,synthetic_manual,我想吃臭豆腐,臭豆腐 我 吃 想,我,臭豆腐,none,臭豆腐,吃,plain,word_order,none,false,none,願望語氣後置
TSL0124,synthetic_manual,他不敢吃辣,辣 他 吃 敢 不,他,辣,none,辣,吃,plain,word_order,none,true,head_shake,能力情態否定
TSL0125,synthetic_manual,這家店很好吃,店 這 好吃,none,店 這,none,店 這,好吃,plain,word_order,none,false,none,指示詞跟名詞
TSL0126,synthetic_manual,那家店不好吃,店 那 好吃 不,none,店 那,none,店 那,好吃,plain,word_order,none,true,head_shake,否定後置
TSL0127,synthetic_manual,你要買幾杯飲料,飲料 你 買 幾杯,你,飲料,none,飲料,買,plain,word_order,wh,false,wh_expression,數量疑問句尾
TSL0128,synthetic_manual,我要買兩杯奶茶,奶茶 兩杯 我 買 要,我,奶茶 兩杯,none,奶茶,買,plain,word_order,none,false,none,數量跟名詞
TSL0129,synthetic_manual,奶茶少冰半糖,奶茶 冰 少 糖 半,none,奶茶,none,奶茶,none,unknown,word_order,none,false,none,飲料修飾資訊後置
TSL0130,synthetic_manual,你今天晚上想看電影嗎,今天 晚上 電影 你 看 想,你,電影,今天 晚上,電影,看,plain,word_order,yesno,false,brow_raise,是非問句
TSL0131,synthetic_manual,這部電影我看過,電影 這 我 看 過,我,電影 這,none,電影 這,看,plain,word_order,none,false,none,經驗標記後置
TSL0132,synthetic_manual,我還沒有看過那部電影,電影 那 我 看 過 還沒,我,電影 那,none,電影 那,看,plain,word_order,none,true,head_shake,經驗否定
TSL0133,synthetic_manual,電影什麼時候開始,電影 開始 什麼時候,none,電影,none,電影,開始,plain,word_order,wh,false,wh_expression,時間疑問詞句尾
TSL0134,synthetic_manual,電影票太貴了,電影票 貴 太,none,電影票,none,電影票,貴,plain,word_order,none,false,none,程度副詞後置
TSL0135,synthetic_manual,我昨天在圖書館讀書,昨天 圖書館 我 讀書,我,圖書館,昨天,圖書館,讀書,spatial,spatial_location,none,false,none,時間地點先行
TSL0136,synthetic_manual,圖書館裡面不能講話,圖書館 裡面 講話 能 不,none,圖書館 裡面,none,圖書館,講話,spatial,spatial_location,none,true,head_shake,地點規則否定
TSL0137,synthetic_manual,你借了哪一本書,書 你 借 哪一本,你,書,none,書,借,plain,word_order,wh,false,wh_expression,疑問詞句尾
TSL0138,synthetic_manual,我借了三本書,書 三本 我 借,我,書 三本,none,書,借,plain,word_order,none,false,none,數量跟名詞
TSL0139,synthetic_manual,書下星期要還,下星期 書 還 要,none,書,下星期,書,還,plain,word_order,none,false,none,時間在前
TSL0140,synthetic_manual,我忘記還書,書 我 還 忘記,我,書,none,書,還,plain,word_order,none,false,none,受語作主題
TSL0141,synthetic_manual,他今天穿藍色衣服,今天 衣服 藍 他 穿,他,衣服 藍,今天,衣服,穿,plain,word_order,none,false,none,修飾語放名詞後
TSL0142,synthetic_manual,我明天要穿黑色外套,明天 外套 黑 我 穿 要,我,外套 黑,明天,外套,穿,plain,word_order,none,false,none,時間在前；顏色後置
TSL0143,synthetic_manual,外套放在哪裡,外套 放 哪裡,none,外套,none,外套,放,spatial,spatial_location,wh,false,wh_expression,物品位置疑問
TSL0144,synthetic_manual,外套在房間裡,房間 裡面 外套 在,外套,房間 裡面,none,房間,在,spatial,spatial_location,none,false,none,位置先建立
TSL0145,synthetic_manual,你今天看起來很累,今天 你 看起來 累,你,none,今天,none,累,plain,word_order,none,false,facial_affect,狀態句
TSL0146,synthetic_manual,我昨天工作太久所以很累,昨天 工作 久 太 所以 我 累,我,none,昨天,工作,累,plain,word_order,none,false,facial_affect,原因先行
TSL0147,synthetic_manual,你要不要休息一下,你 休息 一下 要 不要,你,none,none,none,休息,plain,word_order,yesno,true,brow_raise,要不要問句
TSL0148,synthetic_manual,我現在不想休息,現在 我 休息 想 不,我,none,現在,none,休息,plain,word_order,none,true,head_shake,意願否定
TSL0149,synthetic_manual,明天早上請叫我起床,明天 早上 請 你 叫 我 起床,你,我,明天 早上,none,叫,agreement,directional_movement,none,false,polite_expression,請求句
TSL0150,synthetic_manual,我怕明天遲到,明天 遲到 我 怕,我,遲到,明天,遲到,怕,plain,eye_gaze,none,false,facial_affect,普通動詞可用眼神
TSL0151,synthetic_manual,他昨天遲到了半小時,昨天 半小時 他 遲到,他,none,昨天 半小時,none,遲到,plain,word_order,none,false,none,時間資訊置前
TSL0152,synthetic_manual,老師問他為什麼遲到,他 遲到 為什麼 老師 問,老師,他,none,他 遲到,問,agreement,directional_movement,wh,false,wh_expression,問句內容作主題
TSL0153,synthetic_manual,他說公車壞了,公車 壞 他 說,他,公車 壞,none,公車,說,agreement,directional_movement,none,false,none,內容先建立
TSL0154,synthetic_manual,公車今天開得很慢,今天 公車 慢,none,公車,今天,公車,慢,plain,word_order,none,false,none,時間在前
TSL0155,synthetic_manual,你平常怎麼去上班,平常 上班 你 去 怎麼,你,上班,平常,上班,去,spatial,spatial_path,wh,false,wh_expression,方式疑問詞句尾
TSL0156,synthetic_manual,我平常騎機車上班,平常 機車 我 騎 上班,我,機車,平常,機車,騎,spatial,spatial_path,none,false,none,交通工具先行
TSL0157,synthetic_manual,下雨天我不騎機車,下雨 天 機車 我 騎 不,我,機車,下雨 天,機車,騎,spatial,spatial_path,none,true,head_shake,條件時間先行
TSL0158,synthetic_manual,下雨天我坐捷運,下雨 天 捷運 我 坐,我,捷運,下雨 天,捷運,坐,spatial,spatial_path,none,false,none,交通工具主題
TSL0159,synthetic_manual,你手機號碼是多少,你 手機 號碼 多少,你,手機 號碼,none,你 手機,多少,unknown,word_order,wh,false,wh_expression,數字資訊疑問
TSL0160,synthetic_manual,我可以留下電話給你,電話 我 留下 給 你 可以,我,你,none,電話,給,agreement,directional_movement,yesno,false,brow_raise,許可是非問
TSL0161,synthetic_manual,他沒有回我的訊息,我 訊息 他 回 沒有,他,我 訊息,none,我 訊息,回,agreement,directional_movement,none,true,head_shake,否定後置
TSL0162,synthetic_manual,我等他等了很久,他 我 等 久,我,他,none,他,等,plain,eye_gaze,none,false,eye_gaze,受語先建立
TSL0163,synthetic_manual,你等誰,你 等 誰,你,誰,none,none,等,plain,eye_gaze,wh,false,wh_expression,疑問詞句尾
TSL0164,synthetic_manual,我等朋友,朋友 我 等,我,朋友,none,朋友,等,plain,eye_gaze,none,false,eye_gaze,受語作主題
TSL0165,synthetic_manual,朋友還沒有到,朋友 到 還沒,朋友,none,none,朋友,到,spatial,word_order,none,true,head_shake,完成否定
TSL0166,synthetic_manual,我們先進去等,我們 進去 先 等,我們,none,none,none,進去,spatial,spatial_direction,none,false,none,順序副詞靠前或動作後
TSL0167,synthetic_manual,外面風很大,外面 風 大,none,外面,none,外面,大,plain,word_order,none,false,none,地點主題
TSL0168,synthetic_manual,窗戶可以關起來嗎,窗戶 關 可以,none,窗戶,none,窗戶,關,spatial,spatial_location,yesno,false,brow_raise,是非問句
TSL0169,synthetic_manual,請你把門打開,門 請 你 打開,你,門,none,門,打開,spatial,spatial_location,none,false,polite_expression,請求句
TSL0170,synthetic_manual,門不要關,門 關 不要,none,門,none,門,關,spatial,spatial_location,none,true,head_shake,禁止句
TSL0171,synthetic_manual,我正在整理房間,房間 我 整理,我,房間,none,房間,整理,plain,word_order,none,false,none,受語作主題
TSL0172,synthetic_manual,房間太亂我受不了,房間 亂 太 我 受不了,我,房間,none,房間,受不了,plain,word_order,none,false,facial_affect,主題加評價
TSL0173,synthetic_manual,妹妹幫我掃地,妹妹 掃地 幫 我,妹妹,我,none,掃地,幫,agreement,directional_movement,none,false,none,幫用方向標示受者
TSL0174,synthetic_manual,我謝謝妹妹,妹妹 我 謝謝,我,妹妹,none,妹妹,謝謝,agreement,directional_movement,none,false,facial_affect,受語先建立
TSL0175,synthetic_manual,你今天心情好嗎,今天 你 心情 好,你,none,今天,none,好,plain,word_order,yesno,false,brow_raise,是非問句
TSL0176,synthetic_manual,我今天心情不好,今天 我 心情 好 不,我,none,今天,none,好,plain,word_order,none,true,facial_affect,否定後置
TSL0177,synthetic_manual,他為什麼生氣,他 生氣 為什麼,他,none,none,none,生氣,plain,word_order,wh,false,wh_expression,原因疑問句尾
TSL0178,synthetic_manual,因為我忘記打電話給他,他 電話 我 打 忘記,我,他,none,他,打,agreement,directional_movement,none,false,none,受者先建立
TSL0179,synthetic_manual,我等等打電話道歉,等一下 電話 我 打 道歉,我,電話,等一下,電話,道歉,agreement,directional_movement,none,false,facial_affect,時間在前
TSL0180,synthetic_manual,你應該跟他說清楚,他 你 說 清楚 應該,你,他,none,他,說,agreement,directional_movement,none,false,none,情態詞後置
TSL0181,synthetic_manual,這件事情很重要,事情 這 重要,none,事情 這,none,事情 這,重要,plain,word_order,none,false,none,指示主題
TSL0182,synthetic_manual,你不要忘記這件事情,事情 這 你 忘記 不要,你,事情 這,none,事情 這,忘記,plain,word_order,none,true,head_shake,禁止句
TSL0183,synthetic_manual,明天記得帶身分證,明天 身分證 你 帶 記得,你,身分證,明天,身分證,帶,plain,word_order,none,false,none,提醒句
TSL0184,synthetic_manual,沒有身分證不能進去,身分證 沒有 進去 能 不,none,身分證,none,身分證,進去,spatial,word_order,none,true,head_shake,條件否定
TSL0185,synthetic_manual,入口在哪裡,入口 在 哪裡,none,入口,none,入口,在,spatial,spatial_location,wh,false,wh_expression,位置疑問
TSL0186,synthetic_manual,入口在右邊,右邊 入口 在,入口,右邊,none,右邊,在,spatial,spatial_location,none,false,none,空間位置先建立
TSL0187,synthetic_manual,請往左邊走,左邊 請 你 走,你,左邊,none,左邊,走,spatial,spatial_direction,none,false,polite_expression,方向指令
TSL0188,synthetic_manual,電梯壞了請走樓梯,電梯 壞 樓梯 請 走,你,樓梯,none,電梯,走,spatial,spatial_path,none,false,polite_expression,原因先行
TSL0189,synthetic_manual,樓梯在前面,前面 樓梯 在,樓梯,前面,none,前面,在,spatial,spatial_location,none,false,none,空間位置句
TSL0190,synthetic_manual,你不要跑太快,你 跑 快 太 不要,你,none,none,none,跑,spatial,word_order,none,true,head_shake,禁止句
TSL0191,synthetic_manual,小孩在樓梯上跑很危險,樓梯 小孩 跑 危險,小孩,樓梯,none,樓梯,跑,spatial,spatial_location,none,false,facial_affect,地點先建立
